filename,block_collection,page_number,block_index,block_type,level,line_count,span_count,score,text
GDI_0685.pdf,discarded_blocks,1,1,header,,4,4,0.9276,XXVII Seminário Nacional de Produção e Transmissão de Energia Elétrica XXVIISNPTEE
GDI_0685.pdf,discarded_blocks,1,2,header,,2,2,0.8573,0685 GDI/7
GDI_0685.pdf,para_blocks,1,4,title,1.0,2,2,0.9652,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE DISTRIBUIÇÃO DE BAIXA TENSÃO
GDI_0685.pdf,preproc_blocks,1,4,title,1.0,2,2,0.9652,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE DISTRIBUIÇÃO DE BAIXA TENSÃO
GDI_0685.pdf,para_blocks,1,5,list,,5,5,0.7053,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1); EDUARDO CASARIN (3); AMANDA CORTEZ (3) INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO REDES S.A. (3)
GDI_0685.pdf,preproc_blocks,1,5,text,,5,5,0.7053,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1); EDUARDO CASARIN (3); AMANDA CORTEZ (3) INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO REDES S.A. (3)
GDI_0685.pdf,para_blocks,1,7,abstract,,5,5,0.9682,"Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada Estratégica nº 22/2018 que teve como intuito impulsionar a mobilidade elétrica no país."
GDI_0685.pdf,preproc_blocks,1,7,abstract,,5,5,0.9682,"Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada Estratégica nº 22/2018 que teve como intuito impulsionar a mobilidade elétrica no país."
GDI_0685.pdf,para_blocks,1,11,text,,8,8,0.9876,"Em 2018 foi firmada uma parceria estratégica entre a ANEEL e a Agência de Cooperação Alemã (GIZ) para a organização da estruturação da Rede de Inovação do Setor Elétrico – RISE aplicada à Mobilidade Elétrica, com a intenção de promover ambientes de inovação propícios à criação de produtos tecnológicos com inserção no mercado, através de pesquisas alinhadas com o setor industrial, de modo a impulsionar a mobilidade elétrica no Brasil. Em consonância, a ANEEL lançou a Chamada de Projeto de P&D Estratégico “Desenvolvimento de Soluções em Mobilidade Elétrica Eficiente” [1], a qual tem por objetivo a apresentação de soluções para mobilidade elétrica por meio de modelos de negócio, equipamentos, tecnologias, serviços, sistemas ou infraestruturas para suporte ao desenvolvimento ou à operação dos veículos elétricos ou híbridos plug-in."
GDI_0685.pdf,preproc_blocks,1,11,text,,8,8,0.9876,"Em 2018 foi firmada uma parceria estratégica entre a ANEEL e a Agência de Cooperação Alemã (GIZ) para a organização da estruturação da Rede de Inovação do Setor Elétrico – RISE aplicada à Mobilidade Elétrica, com a intenção de promover ambientes de inovação propícios à criação de produtos tecnológicos com inserção no mercado, através de pesquisas alinhadas com o setor industrial, de modo a impulsionar a mobilidade elétrica no Brasil. Em consonância, a ANEEL lançou a Chamada de Projeto de P&D Estratégico “Desenvolvimento de Soluções em Mobilidade Elétrica Eficiente” [1], a qual tem por objetivo a apresentação de soluções para mobilidade elétrica por meio de modelos de negócio, equipamentos, tecnologias, serviços, sistemas ou infraestruturas para suporte ao desenvolvimento ou à operação dos veículos elétricos ou híbridos plug-in."
GDI_0685.pdf,para_blocks,1,12,text,,6,6,0.9868,"Neste sentido, com o intuito de contribuir para os objetivos propostos na temática da eletromobilidade no país e alcançar os resultados a que se propõe [2], a Neoenergia por meio da Elektro e demais cooperadas em parceira com o Lactec (instituto de pesquisa), com a BYD (indústria de veículos elétricos) e a com a PLE (desenvolvedora de soluções em eletroeletrônicos) propuseram a realização de um projeto de P&D para o Desenvolvimento de Caminhão Elétrico para Manutenção de Redes de Distribuição, com conjunto inteligente para o gerenciamento da recarga e sistema seguro e eficiente para recargas do veículo na própria rede da concessionária [3]."
GDI_0685.pdf,preproc_blocks,1,12,text,,6,6,0.9868,"Neste sentido, com o intuito de contribuir para os objetivos propostos na temática da eletromobilidade no país e alcançar os resultados a que se propõe [2], a Neoenergia por meio da Elektro e demais cooperadas em parceira com o Lactec (instituto de pesquisa), com a BYD (indústria de veículos elétricos) e a com a PLE (desenvolvedora de soluções em eletroeletrônicos) propuseram a realização de um projeto de P&D para o Desenvolvimento de Caminhão Elétrico para Manutenção de Redes de Distribuição, com conjunto inteligente para o gerenciamento da recarga e sistema seguro e eficiente para recargas do veículo na própria rede da concessionária [3]."
