document_id,filename,block_collection,page_index,page_number,block_index,block_type,block_level,line_index,line_text,line_text_length,span_count,line_x0,line_y0,line_x1,line_y1,line_width,line_height,line_area
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,3,title,1.0,0,GRUPO DE ESTUDO DE SISTEMAS DE DISTRIBUIÇÃO - GDI,49,1,165.0,137.0,424.0,149.0,259.0,12.0,3108.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,4,title,1.0,0,DESENVOLVIMENTO DE CAMINHÃO ELÉTRICO PARA UTILIZAÇÃO EM MANUTENÇÃO EM REDES DE,78,1,75.0,168.0,514.0,179.0,439.0,11.0,4829.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,4,title,1.0,1,DISTRIBUIÇÃO DE BAIXA TENSÃO,28,1,218.0,178.0,370.0,189.0,152.0,11.0,1672.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,5,text,,0,ANA PAULA OENING (1); SIGNIE LAUREANO FRANÇA SANTOS (1); NATAN BARBIZAN (2); LEONARDO,85,1,71.0,212.0,516.0,223.0,445.0,11.0,4895.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,5,text,,1,LOMBARDO FERREIRA (2); EDEMIR LUIZ KOWALSKI (1); GUILHERME RACHELLE HERNASKI (1);,81,1,81.0,220.0,505.0,234.0,424.0,14.0,5936.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,5,text,,2,EDUARDO CASARIN (3); AMANDA CORTEZ (3),38,1,191.0,231.0,394.0,243.0,203.0,12.0,2436.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,5,text,,3,INSTITUTO DE TECNOLOGIA PARA O DESENVOLVIMENTO (1); BYD DO BRASIL LTDA (2); ELEKTRO,83,1,74.0,241.0,512.0,255.0,438.0,14.0,6132.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,5,text,,4,REDES S.A. (3),14,1,260.0,253.0,327.0,264.0,67.0,11.0,737.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,6,title,2.0,0,RESUMO,6,1,67.0,282.0,107.0,294.0,40.0,12.0,480.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,7,abstract,,0,Neste trabalho é apresentado o desenvolvimento de um caminhão elétrico para serviços de manutenção em redes,107,1,66.0,299.0,531.0,308.0,465.0,9.0,4185.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,7,abstract,,1,"de distribuição de energia elétrica, incluindo todas as adaptações necessárias para a inclusão de cesto aéreo e",111,1,67.0,310.0,530.0,318.0,463.0,8.0,3704.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,7,abstract,,2,sistema seguro e eficiente para recargas de oportunidade do veículo na própria rede de distribuição da,102,1,67.0,320.0,531.0,330.0,464.0,10.0,4640.0
gdi_0685,GDI_0685.pdf,preproc_blocks,0,1,7,abstract,,3,concessionária. O desenvolvimento foi realizado no âmbito do programa de P&D ANEEL dentro da Chamada,100,1,67.0,330.0,531.0,340.0,464.0,10.0,4640.0
