filename,page_number,preproc_text_blocks,para_text_blocks,exact_text_matches,preproc_match_ratio
GDI_0685.pdf,1,14,14,14,1.0
GDI_0685.pdf,2,2,2,2,1.0
GDI_0685.pdf,3,9,9,9,1.0
GDI_0685.pdf,4,12,12,12,1.0
GDI_0685.pdf,5,2,2,2,1.0
GDI_0685.pdf,6,5,5,5,1.0
GDI_0685.pdf,7,11,11,11,1.0
GDI_0685.pdf,8,5,5,5,1.0
GDI_0685.pdf,9,9,9,9,1.0
GGH9.pdf,1,13,13,13,1.0
GGH9.pdf,2,4,4,3,0.75
GGH9.pdf,3,9,8,8,0.8888888888888888
GGH9.pdf,4,7,7,7,1.0
GGH9.pdf,5,11,11,10,0.9090909090909091
GGH9.pdf,6,4,3,3,0.75
GGH9.pdf,7,3,3,3,1.0
GGH9.pdf,8,10,10,10,1.0
GGT_1247.pdf,1,14,14,13,0.9285714285714286
GGT_1247.pdf,2,6,5,5,0.8333333333333334
GGT_1247.pdf,3,13,13,13,1.0
GGT_1247.pdf,4,12,12,12,1.0
GGT_1247.pdf,5,11,11,11,1.0
GGT_1247.pdf,6,5,5,5,1.0
GGT_1247.pdf,7,2,2,2,1.0
GGT_1247.pdf,8,33,33,33,1.0
GGT_1247.pdf,9,4,4,4,1.0
GGT_1247.pdf,10,7,7,7,1.0
GTL_0081.pdf,1,14,14,14,1.0
GTL_0081.pdf,2,0,0,0,
GTL_0081.pdf,3,7,7,7,1.0
GTL_0081.pdf,4,0,0,0,
GTL_0081.pdf,5,11,10,9,0.8181818181818182
GTM10.pdf,1,20,20,20,1.0
GTM10.pdf,2,6,6,6,1.0
GTM10.pdf,3,7,7,7,1.0
GTM10.pdf,4,5,5,5,1.0
GTM10.pdf,5,3,3,3,1.0
GTM10.pdf,6,4,4,4,1.0
GTM10.pdf,7,7,7,6,0.8571428571428571
GTM10.pdf,8,12,11,11,0.9166666666666666
GTM10.pdf,9,7,7,7,1.0
